service_date,service_hour,dong_name,included_in_3d_map,day_type,living_population,temperature,rain,business_total,subway_daily_alight,traffic_speed,traffic_congestion,transit_pressure,subway_pressure,hourly_raw_score,hourly_relative_demand
20260301,0,논현1동,1,weekend,31524.6046,9.7,0.0,5187.0,469.67,30.0,0.03333333333333333,517.29,912.582,0.38360982,0.1476637
20260301,0,논현2동,1,weekend,31467.4024,9.7,0.0,5294.0,92.07,30.0,0.03333333333333333,150.71,589.418,0.20402355,0.07853519
20260301,0,대치4동,1,weekend,27734.5106,9.7,0.0,3868.0,29.6,30.0,0.03333333333333333,280.903,41.806,0.13150861,0.05062187
20260301,0,삼성1동,1,weekend,18894.6228,9.7,0.0,3259.0,341.67,30.0,0.03333333333333333,148.355,132.838,0.10595411,0.04078513
20260301,0,삼성2동,1,weekend,33050.7711,9.7,0.0,3595.0,398.67,30.0,0.03333333333333333,147.548,961.614,0.27679264,0.10654635
20260301,0,신사동,1,weekend,21933.3221,9.7,0.0,5409.0,490.73,30.0,0.03333333333333333,61.452,358.388,0.17130171,0.06593951
20260301,0,압구정동,0,weekend,31013.4378,9.7,0.0,4304.0,195.07,30.0,0.03333333333333333,193.032,320.386,0.18579087,0.07151685
20260301,0,역삼1동,1,weekend,61215.1912,9.7,0.0,13420.0,819.67,30.0,0.03333333333333333,880.677,1624.644,0.84,0.32334288
20260301,0,역삼2동,1,weekend,41191.069650000005,9.7,0.0,3555.0,0.0,30.0,0.03333333333333333,123.419,0.0,0.14399324,0.05542761
20260301,0,청담동,1,weekend,31109.6512,9.7,0.0,4760.0,180.27,30.0,0.03333333333333333,95.903,222.322,0.15488687,0.05962091
20260301,1,논현1동,1,weekend,30675.5363,8.7,0.0,5187.0,45.53,28.1,0.03558718861209964,96.097,44.194,0.45817131,0.1837014
20260301,1,논현2동,1,weekend,33128.3109,8.7,0.0,5294.0,0.0,29.4,0.034013605442176874,1.419,4.064,0.1335919,0.05356297
20260301,1,대치4동,1,weekend,29940.7613,8.7,0.0,3868.0,0.0,25.7,0.038910505836575876,58.645,0.0,0.19817796,0.07945842
20260301,1,삼성1동,1,weekend,18385.6755,8.7,0.0,3259.0,73.33,27.6,0.036231884057971016,36.419,0.13,0.20099918,0.08058957
20260301,1,삼성2동,1,weekend,33292.4491,8.7,0.0,3595.0,6.13,25.9,0.03861003861003861,51.774,7.356,0.24144201,0.09680491
20260301,1,신사동,1,weekend,20469.4282,8.7,0.0,5409.0,0.4,26.9,0.03717472118959108,2.032,0.13,0.10129307,0.04061293
20260301,1,압구정동,0,weekend,29490.8047,8.7,0.0,4304.0,15.0,25.1,0.0398406374501992,2.71,14.71,0.2516966,0.10091644
20260301,1,역삼1동,1,weekend,59650.3073,8.7,0.0,13420.0,4.73,29.5,0.03389830508474576,242.355,4.902,0.56770596,0.22761874
20260301,1,역삼2동,1,weekend,40137.704849999995,8.7,0.0,3555.0,0.0,29.1,0.034364261168384876,53.355,0.0,0.17830761,0.07149151
20260301,1,청담동,1,weekend,30992.5552,8.7,0.0,4760.0,0.0,27.2,0.03676470588235294,31.903,0.0,0.16272341,0.0652431
20260301,2,논현1동,1,weekend,30769.1984,8.2,0.0,5187.0,0.0,28.6,0.03496503496503496,91.742,0.0,0.22430777,0.11400299
20260301,2,논현2동,1,weekend,32452.2195,8.2,0.0,5294.0,0.0,30.1,0.03322259136212624,0.0,0.0,0.12052712,0.06125714
20260301,2,대치4동,1,weekend,30300.1108,8.2,0.0,3868.0,0.0,26.7,0.03745318352059925,46.323,0.0,0.19236911,0.09777037
20260301,2,삼성1동,1,weekend,18170.4058,8.2,0.0,3259.0,0.0,28.6,0.03496503496503496,28.226,0.0,0.07676951,0.03901761
20260301,2,삼성2동,1,weekend,32986.3623,8.2,0.0,3595.0,0.0,26.6,0.03759398496240601,49.613,0.0,0.20729608,0.10535691
20260301,2,신사동,1,weekend,19993.8476,8.2,0.0,5409.0,0.0,28.1,0.03558718861209964,0.032,0.0,0.0907621,0.04612926
20260301,2,압구정동,0,weekend,28252.9438,8.2,0.0,4304.0,0.0,25.6,0.0390625,0.29,0.0,0.1618294,0.08224876
20260301,2,역삼1동,1,weekend,59157.0633,8.2,0.0,13420.0,0.0,30.6,0.032679738562091505,200.71,0.0,0.54,0.27445155
20260301,2,역삼2동,1,weekend,39892.576400000005,8.2,0.0,3555.0,0.0,30.1,0.03322259136212624,47.548,0.0,0.18367581,0.09335206
20260301,2,청담동,1,weekend,31108.9141,8.2,0.0,4760.0,0.0,28.3,0.0353356890459364,36.0,0.0,0.17002352,0.08641337
20260301,3,논현1동,1,weekend,30810.5751,7.8,0.0,5187.0,0.0,31.7,0.031545741324921134,77.065,0.0,0.16872143,0.09468022
20260301,3,논현2동,1,weekend,32040.1913,7.8,0.0,5294.0,0.0,32.2,0.03105590062111801,1.806,0.0,0.09311607,0.0522533
20260301,3,대치4동,1,weekend,29512.713,7.8,0.0,3868.0,0.0,27.2,0.03676470588235294,46.032,0.0,0.17347321,0.09734675
20260301,3,삼성1동,1,weekend,18124.8095,7.8,0.0,3259.0,0.0,28.9,0.03460207612456748,41.903,0.0,0.08122355,0.04557965
20260301,3,삼성2동,1,weekend,32794.5811,7.8,0.0,3595.0,0.0,28.0,0.03571428571428571,51.71,0.0,0.18055463,0.10132058
20260301,3,신사동,1,weekend,19998.4726,7.8,0.0,5409.0,0.0,29.1,0.034364261168384876,1.742,0.0,0.07189835,0.04034669
20260301,3,압구정동,0,weekend,26815.0695,7.8,0.0,4304.0,0.0,26.2,0.03816793893129771,4.161,0.0,0.13793269,0.07740272
20260301,3,역삼1동,1,weekend,58449.2345,7.8,0.0,13420.0,0.0,31.3,0.03194888178913738,196.065,0.0,0.53004473,0.29744149
20260301,3,역삼2동,1,weekend,40197.13345,7.8,0.0,3555.0,0.0,30.6,0.032679738562091505,53.129,0.0,0.18412347,0.10332328
20260301,3,청담동,1,weekend,30720.8102,7.8,0.0,4760.0,0.0,28.9,0.03460207612456748,41.419,0.0,0.16092531,0.09030533
