service_date,service_hour,dong_name,transit_dong_code,included_in_3d_map,transit_inbound,transit_outbound,transit_internal,transit_pressure
20260301,7,청담동,11230780,1,299,135,30,404
20260301,8,신사동,11230510,1,224,114,36,302
20260301,8,논현1동,11230520,1,1249,1136,114,2271
20260301,8,논현2동,11230530,1,1264,426,74,1616
20260301,8,삼성1동,11230580,1,1980,429,77,2332
20260301,8,삼성2동,11230590,1,440,373,101,712
20260301,8,대치4동,11230630,1,1218,497,62,1653
20260301,8,역삼1동,11230640,1,2483,1455,265,3673
20260301,8,역삼2동,11230650,1,296,273,93,476
20260301,8,압구정동,11230770,0,2559,607,92,3074
20260301,8,청담동,11230780,1,572,224,71,725
20260301,9,신사동,11230510,1,296,140,36,400
20260301,9,논현1동,11230520,1,1845,1550,169,3226
20260301,9,논현2동,11230530,1,1792,606,143,2255
20260301,9,삼성1동,11230580,1,3104,593,111,3586
20260301,9,삼성2동,11230590,1,681,534,164,1051
20260301,9,대치4동,11230630,1,1572,821,126,2267
20260301,9,역삼1동,11230640,1,3492,2461,448,5505
20260301,9,역삼2동,11230650,1,378,363,119,622
20260301,9,압구정동,11230770,0,3007,701,118,3590
20260301,9,청담동,11230780,1,799,358,148,1009
20260301,10,신사동,11230510,1,380,251,80,551
20260301,10,논현1동,11230520,1,2124,2121,250,3995
20260301,10,논현2동,11230530,1,1556,729,169,2116
20260301,10,삼성1동,11230580,1,3929,823,165,4587
20260301,10,삼성2동,11230590,1,718,671,211,1178
20260301,10,대치4동,11230630,1,1458,938,177,2219
20260301,10,역삼1동,11230640,1,3823,3648,678,6793
20260301,10,역삼2동,11230650,1,402,461,162,701
20260301,10,압구정동,11230770,0,3365,1167,192,4340
20260301,10,청담동,11230780,1,663,415,174,904
20260301,11,신사동,11230510,1,403,240,82,561
20260301,11,논현1동,11230520,1,2224,2358,252,4330
20260301,11,논현2동,11230530,1,1458,834,156,2136
20260301,11,삼성1동,11230580,1,3467,1415,208,4674
20260301,11,삼성2동,11230590,1,802,668,186,1284
20260301,11,대치4동,11230630,1,1639,1207,188,2658
20260301,11,역삼1동,11230640,1,4292,4021,680,7633
20260301,11,역삼2동,11230650,1,406,514,195,725
20260301,11,압구정동,11230770,0,2690,1287,244,3733
20260301,11,청담동,11230780,1,582,499,217,864
20260301,12,신사동,11230510,1,451,437,149,739
20260301,12,논현1동,11230520,1,2303,3027,248,5082
20260301,12,논현2동,11230530,1,1751,1075,224,2602
20260301,12,삼성1동,11230580,1,3943,1528,291,5180
20260301,12,삼성2동,11230590,1,835,819,272,1382
20260301,12,대치4동,11230630,1,1948,1611,286,3273
20260301,12,역삼1동,11230640,1,4769,5260,861,9168
20260301,12,역삼2동,11230650,1,479,550,182,847
20260301,12,압구정동,11230770,0,2886,2036,324,4598
20260301,12,청담동,11230780,1,603,575,212,966
20260301,13,신사동,11230510,1,447,461,135,773
20260301,13,논현1동,11230520,1,2190,3266,267,5189
20260301,13,논현2동,11230530,1,1708,1335,241,2802
20260301,13,삼성1동,11230580,1,3913,1971,374,5510
20260301,13,삼성2동,11230590,1,780,870,278,1372
20260301,13,대치4동,11230630,1,1998,1841,321,3518
20260301,13,역삼1동,11230640,1,4806,5134,852,9088
20260301,13,역삼2동,11230650,1,527,749,229,1047
20260301,13,압구정동,11230770,0,2643,2380,355,4668
20260301,13,청담동,11230780,1,631,587,246,972
20260301,14,신사동,11230510,1,525,497,130,892
20260301,14,논현1동,11230520,1,2265,3471,327,5409
20260301,14,논현2동,11230530,1,1395,1374,201,2568
20260301,14,삼성1동,11230580,1,3124,2686,496,5314
20260301,14,삼성2동,11230590,1,848,961,275,1534
20260301,14,대치4동,11230630,1,1558,1933,267,3224
20260301,14,역삼1동,11230640,1,4413,5688,865,9236
20260301,14,역삼2동,11230650,1,466,640,219,887
20260301,14,압구정동,11230770,0,2500,2807,424,4883
20260301,14,청담동,11230780,1,611,664,231,1044
20260301,15,신사동,11230510,1,497,516,149,864
20260301,15,논현1동,11230520,1,2223,3248,316,5155
20260301,15,논현2동,11230530,1,1266,1610,208,2668
20260301,15,삼성1동,11230580,1,2585,3456,608,5433
20260301,15,삼성2동,11230590,1,1001,924,267,1658
20260301,15,대치4동,11230630,1,1661,1722,240,3143
20260301,15,역삼1동,11230640,1,4236,5580,862,8954
20260301,15,역삼2동,11230650,1,504,542,170,876
20260301,15,압구정동,11230770,0,2420,2761,343,4838
20260301,15,청담동,11230780,1,596,683,206,1073
20260301,16,신사동,11230510,1,490,541,135,896
20260301,16,논현1동,11230520,1,2572,3673,338,5907
20260301,16,논현2동,11230530,1,1356,1811,239,2928
20260301,16,삼성1동,11230580,1,2135,3978,727,5386
20260301,16,삼성2동,11230590,1,862,964,268,1558
20260301,16,대치4동,11230630,1,1640,2060,278,3422
20260301,16,역삼1동,11230640,1,4881,6330,912,10299
20260301,16,역삼2동,11230650,1,503,606,171,938
20260301,16,압구정동,11230770,0,2452,3073,422,5103
20260301,16,청담동,11230780,1,603,717,216,1104
20260301,17,신사동,11230510,1,569,634,158,1045
20260301,17,논현1동,11230520,1,2565,3658,342,5881
20260301,17,논현2동,11230530,1,1206,1610,205,2611
20260301,17,삼성1동,11230580,1,1703,4007,695,5015
20260301,17,삼성2동,11230590,1,798,1080,324,1554
20260301,17,대치4동,11230630,1,1542,2638,492,3688
20260301,17,역삼1동,11230640,1,4970,5691,883,9778
20260301,17,역삼2동,11230650,1,573,661,221,1013
20260301,17,압구정동,11230770,0,2221,3301,456,5066
20260301,17,청담동,11230780,1,648,774,223,1199
20260301,18,신사동,11230510,1,450,537,131,856
20260301,18,논현1동,11230520,1,1949,3233,293,4889
20260301,18,논현2동,11230530,1,929,1663,224,2368
20260301,18,삼성1동,11230580,1,1204,4208,739,4673
20260301,18,삼성2동,11230590,1,723,902,256,1369
20260301,18,대치4동,11230630,1,1157,2158,329,2986
20260301,18,역삼1동,11230640,1,3976,5075,751,8300
20260301,18,역삼2동,11230650,1,486,580,170,896
20260301,18,압구정동,11230770,0,1642,3321,380,4583
20260301,18,청담동,11230780,1,568,1025,293,1300
20260301,19,신사동,11230510,1,308,388,90,606
20260301,19,논현1동,11230520,1,1444,2760,247,3957
20260301,19,논현2동,11230530,1,650,1459,195,1914
20260301,19,삼성1동,11230580,1,834,2711,432,3113
